              author_id               | first_name |       last_name        
--------------------------------------+------------+------------------------
 45db176a-655e-4a4f-8ba0-abe2c51086ff | Abraham    | Verghese
 e3bd9bfe-15b5-4561-97ea-2f33c2aea5e6 | Alex       | Aster
 58703afb-c6fb-4aae-a7d4-7c35e50fd3a4 | Amie       | Kaufman & Jay Kristoff
 0ec7f124-a7d4-4c2d-b41f-920acbc263fe | Andy       | Weir
 09417e8e-59bc-48e3-ac02-eaf1d84ed526 | Anthony    | Doerr
 c94e9837-abfc-4f67-b1e7-df795a5995bd | Barbara    | Kingsolver
 ec637566-1ec0-4fc7-b2d4-a469d3687987 | Bonnie     | Garmus
 6b3522e3-f2bc-4adb-a07f-ff5d39187124 | C.L.       | Polk
 e788155c-1c5e-461a-9d43-149e4f34dc3b | Carissa    | Broadbent
 a60f3b09-32da-4e7e-8874-88284f0d5bce | Cassandra  | Clare
 07d3bd37-5dfb-49aa-b1b6-275bc496228c | Chelsea    | Abdullah
 54b02540-5335-4e47-90ec-aca222c4101f | Chimamanda | Ngozi Adichie
 01c222e9-30b4-452b-8a3b-93f767adc435 | Claire     | Keegan
 b90d80c8-87a3-41d9-90a8-2a3695739733 | Colleen    | Hoover
 f6c5c7c0-a5c4-4a5f-9c62-f0e246192d08 | Colson     | Whitehead
 c3fec48c-f89c-4aaa-8054-ac8963ead3ea | Cormac     | McCarthy
 c3f00a9f-e263-4d49-abc6-a906a9789351 | David      | Mitchell
 34045ca8-33ac-443b-ae1d-7507f6d1ba26 | Delia      | Owens
 433ae7ba-d698-43d5-9e09-b9f39f9a9101 | Donna      | Tartt
 26d03d34-5818-4505-844b-051539c02846 | Eleanor    | Catton
 35618255-9cbb-4de6-aab1-108c22f13788 | Elena      | Ferrante
 7e06547b-7695-4709-af95-638dc68f9d24 | Emily      | A. Duncan
 8426813b-7470-4530-ab3e-fc9306e1a711 | Emily      | Henry
 e8584e69-3f27-4e34-ae25-fbdcafa9c066 | Emily      | St. John Mandel
 c8d84b91-912a-49c9-a071-4482ca2749cd | Erin       | Morgenstern
 95039e59-600c-4a43-95f0-f2c3391b0c5d | Gabrielle  | Zevin
 49a16f2d-5a37-4201-b147-efd208485a17 | George     | Saunders
 83ff1522-7e7e-4e24-8aaa-a19bcc05da3f | Gillian    | Flynn
 3d5f9183-0d9c-43e6-b9a1-beb22be96a6f | Hernan     | Diaz
 42071998-4576-4406-9503-a40792c0898b | Hilary     | Mantel
 77393eef-2212-4730-8bd2-d727a91c1c79 | Ian        | McEwan
 170e6d89-baee-4329-92af-85cacabe0a4d | Isabel     | Wilkerson
 1e6f6699-e138-4a81-948a-00489cfbe8f2 | Jay        | Kristoff
 322ef68b-bb33-4e87-88b8-edc5cdd275cb | Jeannette  | Walls
 8043c0fc-0a6e-4a1d-87be-1871c7c6d686 | Jenn       | Lyons
 9706204e-87d1-4ecb-8007-8703fa4a9a80 | Katee      | Robert
 ca39a5ae-48bb-4fe4-b194-1a19f998f137 | Kazuo      | Ishiguro
 7db2366f-2a00-4a4c-9719-e675b0a5a3ab | Leigh      | Bardugo
 b3e27f3b-cd52-4178-8816-3e120f69cd90 | Madeline   | Miller
 021985f1-e62e-4f89-a402-208e7d58ca6e | Margaret   | Atwood
 1d877364-e0b9-4af2-a45e-36c62714e291 | Matt       | Haig
 5fb74407-00e4-4460-bcde-bc80b5b1c901 | Olivie     | Blake
 3676c074-ed82-4f21-9d33-0f2cba18bcaf | Prince     | Harry
 d3f177b7-21d9-46d0-b329-d3d25dd92f93 | R.F.       | Kuang
 b8cd8769-84b8-44b5-b1a7-6a0a1a0191e1 | Rebecca    | Yarros
 05b65e68-a4cd-4332-8559-bd62a902834c | Renée      | Ahdieh
 c6295d16-ce46-4e7e-99ff-64cc37253838 | Renée      | Carlino
 452dcc27-dc03-43ed-a784-22af4eb9c966 | Richard    | Powers
 ea23ab18-c3b4-403d-973a-2c3d55977d0d | Sally      | Rooney
 87a56a01-1d3a-47b8-8924-733ed98d07ed | Samantha   | Shannon
 adf12604-1aa7-43c4-b389-4141c4fb3d74 | Sarah      | J. Maas
 93e6eba5-46ac-4450-add9-919d14dfca1c | Scarlett   | St. Clair
 7062834b-04c6-4d68-8249-79fa4e55d09e | Shelby     | Mahurin
 57cc026e-7d24-4a02-9202-8c42a267a6d8 | Shelley    | Parker-Chan
 104c502e-83e0-4239-83d3-7b7657ec394d | Stephanie  | Garber
 38f6b0c8-db74-46ad-84b8-6ffe1ee0cfb3 | Sue        | Lynn Tan
 94ee5313-e9f1-4fd9-9bd8-71b7aa6fb651 | Sunyi      | Dean
 818e653a-36fa-4a32-98e1-23980d95005f | Suzanne    | Collins
 381df5a4-a6ed-4285-893f-3eed718280f9 | TJ         | Klune
 2ec75b29-9589-44c2-b5e8-ee19df6a6e63 | Tahereh    | Mafi
 703625f1-efa5-4f4a-9642-5ebd89e13442 | Taylor     | Jenkins Reid
 56361d56-c343-42b0-90fa-611fcc9668bd | Tomi       | Adeyemi
 92d9dd76-2e2a-4116-958f-65d1dc183903 | Tracy      | Deonn
 80d422a6-b863-4352-a50c-03038ec1b111 | Tricia     | Levenseller
 88d9f223-6fc6-4fbc-a60f-bb721a8f8f3d | V.E.       | Schwab
 d522af42-4c69-4ff1-9127-c35e97912f41 | Veronica   | Roth
 7a4fa824-da78-4736-acda-b792aa2e64a6 | Victoria   | Aveyard
 fa5f8166-a07f-4703-9515-5f3e8d750856 | Xiran      | Jay Zhao
(68 rows)


//books
               book_id                |                           title                           
--------------------------------------+-----------------------------------------------------------
 c8950321-9395-44ce-828c-78a732f91b37 | A Conjuring of Light
 3b67e257-fcbb-4de4-8149-5ce9960f77b9 | A Court of Mist and Fury
 6ad0bc0d-310a-4cfb-bc16-5d6106f5d530 | A Court of Silver Flames
 94578ec4-205d-4644-aa91-7647bc2d9900 | A Court of Thorns and Roses
 e9cb7006-e285-4530-9643-0a0a959305a0 | House of Sky and Breath
 c3722913-0cd4-4cfb-9544-15c9b70d1f8c | Ignite Me
 58c809f0-4d05-4d6a-9255-f00c357a84eb | Illuminae
 ba70c5e9-a793-4384-992c-047ea44b45c6 | Imagine Me
 3f197abc-a693-49d5-b0bb-406edd54c693 | Insurgent
 b93913d0-c4af-46ca-a602-a31b06c816ec | A Court of Wings and Ruin
 3647650f-080a-4e5e-9f10-d73c87df3a46 | A Day of Fallen Night
 a30177e0-30cd-4d73-8c78-0db194465e33 | A Gathering of Shadows
 978985ec-1759-46ee-bb14-531c9bfcc3c7 | All the Light We Cannot See
 c64f7799-493f-4135-abd0-e12310577760 | Allegiant
 3c2de1cd-3496-4c54-af75-df4d7b1941f2 | Americanah
 ec828ace-a3e6-4625-9a16-31f19d1b57e2 | Aurora Burning
 1ff0995a-4cd4-4ff4-bfbd-7bae9e760726 | Aurora Rising
 198517e6-4fd4-4b5b-aec7-ac135b050bd7 | Aurora’s End
 490214ac-1b2d-4e5b-97cd-e27514faed75 | Babel
 a77d1c9f-dd91-4a7f-ba0a-d157c1f90f0f | Before We Were Strangers
 38b4f1ff-9177-437d-a124-c8514bfd1adf | Birnam Wood
 9bed5434-3be9-4a64-b32f-b749ca0cae6a | Blade Breaker
 ac2c31ef-9d50-441a-aa08-cb387199c7ff | Bloodmarked
 da9871b3-97d4-4bca-9f21-be4755a67c78 | Book Lovers
 d3ea78cd-2f26-4667-8a48-35a045d4e58d | Caraval
 edf616f5-cdc1-4074-b31c-adad5922351a | Carrie Soto Is Back
 d7b46e40-8242-4f70-8996-6ba5d29bb64a | Catching Fire
 33c71273-b4ee-45fc-ae72-79048c9792b2 | Chain of Gold
 8d014e8c-c611-4440-9fd1-155064e07a27 | Chain of Iron
 ffeba2da-9089-4354-9d48-a8a1bca080c2 | Children of Blood and Bone
 23c78129-82ff-48fd-8dd1-3772f1afff51 | Children of Virtue and Vengeance
 6d8c126a-6f52-4063-b46a-e00964dbd1e7 | Circe
 76999973-8825-4e01-9101-70714a9486e5 | City of Ashes
 a91c59b3-eb49-462f-b6a3-3a8dcc723ec5 | City of Bones
 f58abff5-0d08-412c-96bf-244e15f8aee6 | City of Fallen Angels
 cfdf78b2-c54b-4f90-98c6-684321fbe3a1 | City of Glass
 d84bc7b3-d136-4c66-a9a3-276c53978196 | City of Heavenly Fire
 9c14aa8a-70ea-4be8-a8ac-e1ee8ed4f755 | City of Lost Souls
 d9a43bea-6187-46e9-93dd-aac0175a1708 | Clockwork Angel
 8dadf3d7-623a-4b37-abad-5cbdfb76890f | Clockwork Princess
 67c27067-9f20-4770-991a-29426cc34ec3 | Crescent City: House of Sky and Breath
 49640ebf-be54-4bf8-98c7-139c8fc728c3 | Crooked Kingdom
 222edd9c-bbe5-4f22-b380-e3c23e92a970 | Crown of Midnight
 7d447336-8fd1-4881-a2d9-d63b6c24d1ae | Darkdawn
 9bfa6939-ff65-4a89-b02b-cab365544ec4 | Defy Me
 0c046c96-9c1b-44cd-bf7a-ea9d1f87fea6 | Demon Copperhead
 ee722a96-7146-40b7-acec-349d304ab002 | Empire of Storms
 6472804e-f258-4431-842d-6f6e2d5fef32 | Empire of the Vampire
 2d312578-9dbd-450f-a62a-67729f8e74db | Fate Breaker
 65856882-88f7-4c34-983a-a66466cbbb4e | Finale
 086a303e-3247-4a0b-8994-54ff7e666480 | Four: A Divergent Collection
 16c51354-2fda-48fe-85f7-0ae0e1ac75ec | Fourth Wing
 79972b3e-04c5-43df-a4d0-2046ef79d6be | Glass Sword
 22e73320-3645-47b6-a9b5-0be5be8f05ad | Godsgrave
 913767b4-f2bc-4711-a058-23a1dc92d6a3 | Gone Girl
 81e40d49-4bf3-46d7-a16e-0d27f04aeeed | Happy Place
 da42a843-33f4-4018-96e7-8982ed95baa0 | He Who Drowned the World
 c3a219ff-bce7-4c1f-a075-bac2b1d3c1bd | Heir of Fire
 c2aa178c-b58b-4b7d-a093-af38aeea0a67 | Heir of Fire: Collector’s Edition
 fef9641f-1ed0-48c7-9d84-72a0e5618bef | House of Earth and Blood
 562d34dc-09e9-4aab-859f-5a486394ff9f | Iron Flame
 f8c2f2a4-231e-4099-8ac2-5745326eadbd | Iron Widow
 af1155b0-ca5a-4a8a-9091-e6fc4312b3cb | It Ends with Us
 a3fe79d2-2a75-40be-945f-259ae87e26f3 | It Starts with Us
 71a1edd8-e536-4415-9daf-1ec428ee9b73 | King of Scars
 908ccf06-f3a9-4ee3-89b8-c1bfab8a07db | King’s Cage
 b7bdb37a-2202-4c17-a0c8-dcf47f0ae88a | Kingdom of Ash
 f3545f5d-3fc7-4be1-91e4-4d2b86150cbe | Klara and the Sun
 ffc16873-1f35-45d9-a6f2-93ae90d2b387 | Lady Midnight
 ecb5cef2-e4e8-4393-b167-d677b47f3546 | Legendary
 48e6f77d-903d-4b6d-827e-55628c4c03ab | Legendborn
 530800c6-b78d-4c1d-9367-7a1732ede5dc | Lessons
 6d1dd482-cd9d-456b-8de0-1b032e9e0df6 | Lessons in Chemistry
